CITY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ione,7748,7562,7318,6963,6972,6997,7031,7818,8568,8568,5141,5257,5325,5431
Irvine,213450,220303,229063,236057,247136,255382,265345,276000,287401,287401,308411,304258,312820,314621
Irwindale,1418,1416,1413,1413,1417,1421,1427,1452,1446,1446,1464,1453,1443,1426
Isleton,805,810,815,819,824,830,835,844,844,844,798,794,784,777
Jackson,4658,4624,4607,4596,4611,4660,4695,4734,4840,4840,4999,5070,5117,5132
Jurupa Valley,95590,97195,98350,99469,100080,101460,103240,105760,109527,109527,105356,106874,107113,107321
Kerman,13634,13877,14285,14299,14329,14412,14534,14860,15282,15282,16039,16429,16894,17238
King City,12902,13001,13119,13189,13482,13789,13830,13941,14077,14077,13352,13372,13503,13917
Kingsburg,11464,11556,11636,11698,11727,11800,11831,12013,12108,12108,12419,12512,12677,13013
La Cañada Flintridge,20258,20348,20417,20470,20451,20428,20397,20297,20009,20009,20497,20048,19726,19538
Lafayette,23873,24288,24570,25024,25423,25790,26153,26388,26638,26638,25392,25298,25112,25048
Laguna Beach,22765,22976,23098,23213,23214,23232,23165,23045,22827,22827,22997,22783,22547,22332
Laguna Hills,30713,30983,31146,31260,31215,31973,31849,31631,31207,31207,31311,30968,30591,30243
Laguna Niguel,63119,63774,64134,64381,65079,65396,65145,66011,66385,66385,64536,64433,63635,62899
Laguna Woods,16012,16148,16233,16290,16264,16251,16184,16068,15850,15850,17617,17418,17199,16998
La Habra,59108,59658,59970,60224,60421,60473,60292,60898,60513,60513,63002,62318,61607,60991
La Habra Heights,6540,6573,6606,6622,6628,6639,6616,6590,6492,6492,5664,5544,5443,5368
Lake Elsinore,53627,55078,56044,57711,60111,61955,63807,66066,69283,69283,70563,72194,72783,73028
Lake Forest,77552,78299,78727,79112,79678,81964,83019,83878,85531,85531,85927,85970,85923,85840
Lakeport,4757,4717,4683,4753,4765,4780,4909,4909,5006,5006,5031,5127,5154,5135
Lakewood,80079,80413,80672,80883,80927,80951,80895,80510,79307,79307,82224,80485,79108,78135
La Mesa,57149,57644,58099,58556,58855,59697,59751,59722,59249,59249,61097,60836,60605,60537
La Mirada,48535,48702,48851,48961,49019,49129,49054,48827,48183,48183,47831,46934,46119,45505
Lancaster,156824,158078,158253,159055,159634,159813,159633,159434,157601,157601,173094,170000,167815,166236
La Palma,15545,15676,15757,15846,15819,15806,15739,15644,15428,15428,15560,15390,15203,15029
La Puente,39843,40032,40166,40305,40367,40412,40250,40078,39614,39614,37931,37289,36863,36516
La Quinta,37670,38142,38494,39119,39742,40209,40777,41180,41748,41748,37749,38231,38521,39081
Larkspur,11920,12022,12075,12185,12286,12383,12362,12316,12254,12254,13029,12959,12739,12589
Lathrop,17695,18313,18615,19120,19506,20287,21564,22221,24483,24483,29096,31322,35080,39857
La Verne,31103,31231,31349,31659,32240,32442,32350,32258,31974,31974,31472,30802,30274,29898
Lawndale,32775,32902,33019,33108,33141,33157,33033,32875,32389,32389,31734,31074,30531,30155
Lemon Grove,25380,25603,25934,26116,26404,26554,26766,26963,26811,26811,27602,27388,27353,27569
Lemoore,24537,24467,24614,24826,25010,25452,25666,26262,26725,26725,27121,27312,27067,26809
Lincoln,43099,43771,44240,45018,45727,46286,46965,47525,48275,48275,49970,51333,52825,54538
Lindsay,11772,12659,12771,12938,13107,13147,13213,13249,13463,13463,12638,12624,12551,12496
Live Oak,8465,8550,8361,8373,8383,8411,8707,8724,8912,8912,9131,9265,9366,9443
Livermore,81599,82589,83831,85448,87017,88248,89572,90137,90189,90189,87875,86048,84111,82908
Livingston,13068,13366,13416,13460,13722,13810,13916,14085,14896,14896,14225,14573,14718,14643
Lodi,62253,62741,63048,63128,63620,64264,64578,65715,67586,67586,66438,67181,67559,67679
Loma Linda,23368,23533,23632,23691,23749,23952,24091,24132,24482,24482,24887,25143,25126,25111
Lomita,20263,20364,20490,20597,20619,20659,20629,20576,20320,20320,20868,20415,20048,19782
Lompoc,42322,42188,43075,43384,43870,43916,43537,43274,42853,42853,44402,43372,43851,43045
Long Beach,462431,464512,466873,468000,469109,470128,468719,466646,462628,462628,465585,455449,452931,449468
Loomis Town,6435,6524,6579,6640,6687,6691,6747,6793,6866,6866,6832,6850,6813,6779
Los Alamitos,11391,11492,11560,11597,11631,11621,11587,11526,11399,11399,11770,11709,11751,11901
Los Altos,29091,29473,29813,30014,30277,30667,30728,30677,30089,30089,31350,30567,30151,29990
Los Altos Hills Town,8069,8148,8264,8345,8440,8468,8564,8561,8423,8423,8489,8295,8205,8189
Los Angeles,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3979576,3979576,3895848,3832573,3822782,3820914
Los Banos,36070,36367,36495,36608,36820,37151,37461,38933,41036,41036,45687,46943,47956,48553
Los Gatos Town,29792,30123,30443,30722,30976,30970,30984,30914,30222,30222,33415,32571,32213,32216
Loyalton,761,732,722,714,701,704,696,707,702,702,737,753,735,728
Lynwood,69595,69661,70576,71146,71193,71397,70979,70685,69887,69887,66804,64809,63818,63234
Mcfarland,12723,12784,12362,12430,13577,13941,14484,14996,15506,15506,14173,14239,14149,14049
Madera,61603,61907,62382,62749,63230,63690,64187,64941,65860,65860,66522,67529,67594,68079
Malibu,12639,12691,12750,12807,12839,12865,12853,12817,11820,11820,10625,10446,10330,10277
Mammoth Lakes Town,8231,8284,8226,8058,8086,8045,8158,8182,8235,8235,7237,7291,7140,7187
Manhattan Beach,35123,35232,35345,35426,35461,35504,35608,35702,35183,35183,35383,34582,33891,33369
Manteca,67733,69244,70884,71761,73157,75088,76831,79079,83028,83028,84009,86393,88669,91059
Maricopa,1155,1162,1170,1178,1185,1187,1187,1191,1192,1192,1023,1025,1018,1009
Marina,19743,19876,20149,20269,20680,21071,21622,21986,22781,22781,22287,21989,22259,22833
Martinez,36157,36502,36825,37119,37473,38050,38325,38411,38297,38297,37195,36962,36563,36395
Marysville,12094,12097,12113,12154,12165,12154,12193,12351,12476,12476,12851,12704,12631,12674
Maywood,27381,27474,27543,27614,27628,27636,27536,27406,26973,26973,25041,24531,24124,23824
Mendota,11332,11501,11519,11512,11505,11526,11541,11543,11511,11511,12588,12577,12546,12530
Menifee,77929,79665,81026,83045,84522,86411,88057,90104,94756,94756,103228,107130,110378,113433
Menlo Park,32080,32450,32821,33013,33211,33389,33970,34184,34698,34698,33690,32566,31955,31690
Merced,79131,79705,80231,80703,81120,81775,82232,82589,83676,83676,86893,89954,92088,93692
Millbrae,21572,21847,22123,22480,22669,22803,22764,22649,22394,22394,23138,22346,22050,22087
Mill Valley,13921,14064,14157,14307,14379,14377,14351,14287,14259,14259,14201,14142,13928,13792
Milpitas,66729,67124,68862,69944,73560,77485,77829,77874,84196,84196,79792,77403,76882,77321
Mission Viejo,93225,94020,94627,96003,96622,96543,96149,95551,94381,94381,93457,92494,91515,90624
Modesto,203301,204017,205040,206075,207652,209245,211231,213000,215196,215196,218691,218827,218344,218915
Monrovia,36599,36744,36859,36992,37066,37153,37019,36846,36331,36331,38003,37636,37110,36768
Montague,1444,1431,1411,1395,1388,1388,1388,1396,1398,1398,1221,1225,1207,1182
Montclair,36743,37279,37440,37923,38212,38447,38784,39124,40083,40083,37941,38001,37754,37545
Montebello,62490,62903,63123,63279,63322,63379,63134,62823,61954,61954,62433,61175,60356,60015
Monterey,27908,28246,28750,28600,28549,28496,28568,28411,28178,28178,30111,29909,29511,29116
Monterey Park,60218,60460,60645,60796,60832,60908,60830,60668,59669,59669,60898,59596,58580,57877
Monte Sereno,3331,3360,3401,3442,3473,3489,3511,3514,3427,3427,3471,3410,3416,3459
Moorpark,34644,34906,35010,35136,35474,36000,36444,36561,36375,36375,36246,36022,35656,35543
Moraga Town,16057,16308,16476,16753,16993,17220,17441,17600,17783,17783,16880,16854,16680,16547
Moreno Valley,194240,196590,198214,200195,201831,202919,204711,206741,213055,213055,208868,211072,211648,212392
Morgan Hill,38071,38840,39490,41028,42074,42991,44430,44961,45952,45952,45685,45269,44678,44478
Morro Bay,10244,10281,10365,10447,10498,10578,10612,10603,10543,10543,10762,10788,10688,10589
Mountain View,74236,75108,76507,77955,79150,80345,80821,81189,82739,82739,82766,82262,81853,81785
Mount Shasta,3390,3352,3311,3263,3271,3274,3270,3286,3274,3274,3219,3232,3207,3179
Murrieta,104229,105370,106509,107361,108037,109372,111492,112995,116223,116223,111146,112278,112076,111878
Napa,77185,77679,78168,78728,79384,79636,79616,79083,78130,78130,79334,79173,78092,77492
National City,58624,59042,59369,59776,60132,60721,60967,61083,61394,61394,56213,55794,55769,55236
Needles,4836,4875,4896,4908,4928,4949,4967,4987,4976,4976,4928,4909,4863,4824
Nevada City,3080,3103,3095,3095,3070,3153,3145,3136,3148,3148,3148,3165,3145,3224
Newark,42628,43019,43533,44078,44640,45236,45872,47429,49149,49149,47517,46977,46722,46929
Newman,10273,10527,10580,10629,10711,10840,11065,11288,11784,11784,12391,12354,12261,12207
Newport Beach,85329,86073,86522,86877,86688,86585,86510,85740,84534,84534,85164,84404,83446,82637
Norco,27240,27366,27457,27033,26998,26307,26807,26861,26604,26604,25395,24614,24959,25398
Norwalk,105544,105903,105976,106122,106189,106237,105844,105466,103949,103949,102405,100479,99079,98078
